"Basespace.ID","Participant.ID","Participant.id","Food","Timepoint","TimepointNum"
"RESTRICT_92","RF536 R T1","RF536","R","T1",1
"RESTRICT_98","RF894 R T1","RF894","R","T1",1
"RESTRICT_4","RF477 R T1","RF477","R","T1",1
"RESTRICT_21","RF287 R T1","RF287","R","T1",1
"RESTRICT_63","RF312 R T1","RF312","R","T1",1
"RESTRICT_75","RF029 R T1","RF029","R","T1",1
"RESTRICT_116","RF508 R T1","RF508","R","T1",1
"RESTRICT_57","RF141 R T1","RF141","R","T1",1
"RESTRICT_104","RF614 R T1","RF614","R","T1",1
"RESTRICT_45","RF789 R T1","RF789","R","T1",1
"RESTRICT_1","RF477 U T1","RF477","U","T1",1
"RESTRICT_24","RF536 U T1","RF536","U","T1",1
"RESTRICT_30","RF894 U T1","RF894","U","T1",1
"RESTRICT_18","RF287 U T1","RF287","U","T1",1
"RESTRICT_60","RF312 U T1","RF312","U","T1",1
"RESTRICT_12","RF272 U T1","RF272","U","T1",1
"RESTRICT_42","RF789 U T1","RF789","U","T1",1
"RESTRICT_54","RF141 U T1","RF141","U","T1",1
"RESTRICT_101","RF614 U T1","RF614","U","T1",1
"RESTRICT_48","RF508 U T1","RF508","U","T1",1
"RESTRICT_27","RF536 R T5","RF536","R","T5",5
"RESTRICT_69","RF477 R T5","RF477","R","T5",5
"RESTRICT_86","RF287 R T5","RF287","R","T5",5
"RESTRICT_58","RF141 R T5","RF141","R","T5",5
"RESTRICT_128","RF312 R T5","RF312","R","T5",5
"RESTRICT_110","RF789 R T5","RF789","R","T5",5
"RESTRICT_51","RF508 R T5","RF508","R","T5",5
"RESTRICT_15","RF272 R T5","RF272","R","T5",5
"RESTRICT_39","RF614 R T5","RF614","R","T5",5
"RESTRICT_9","RF029 R T5","RF029","R","T5",5
"RESTRICT_33","RF894 R T5","RF894","R","T5",5
"RESTRICT_13","RF272 U T5","RF272","U","T5",5
"RESTRICT_43","RF789 U T5","RF789","U","T5",5
"RESTRICT_66","RF477 U T5","RF477","U","T5",5
"RESTRICT_89","RF536 U T5","RF536","U","T5",5
"RESTRICT_125","RF312 U T5","RF312","U","T5",5
"RESTRICT_31","RF894 U T5","RF894","U","T5",5
"RESTRICT_119","RF141 U T5","RF141","U","T5",5
